"Date","Open","High","Low","Close","atr","sma","Diff","aroonUp","aroonDn","oscillator","mom","hi","lw","Hammer","InvertedHammer","Doji","DragonflyDoji","GravestoneDoji","Bull.Engulfing","Bear.Engulfing"
2000-01-03,6024,6102,5902,5917,NA,NA,NA,NA,NA,NA,NA,108,-101,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
2000-01-04,5922,5925,5657,5672,NA,NA,NA,NA,NA,NA,NA,108,-101,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-05,5522,5590,5462,5480,NA,NA,NA,NA,NA,NA,NA,108,-101,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-06,5486,5530,5389,5450,NA,NA,NA,NA,NA,NA,NA,108,-101,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-07,5424,5562,5424,5540,NA,NA,NA,NA,NA,NA,NA,108,-101,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2000-01-10,5626,5717,5617,5646,NA,NA,NA,NA,NA,NA,NA,108,-101,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-11,5727,5727,5572,5614,NA,NA,NA,NA,NA,NA,NA,108,-101,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2000-01-12,5541,5629,5536,5582,NA,NA,NA,NA,NA,NA,NA,108,-101,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-13,5586,5682,5579,5633,NA,NA,NA,NA,NA,NA,NA,108,-101,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-14,5669,5804,5665,5787,NA,5632,155,NA,NA,NA,NA,108,-101,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-17,5835,5857,5740,5843,NA,5625,218,NA,NA,NA,NA,108,-101,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2000-01-18,5859,5859,5670,5673,NA,5625,48,NA,NA,NA,NA,108,-101,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2000-01-19,5665,5668,5590,5649,NA,5642,7,NA,NA,NA,-268,108,-101,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-20,5713,5728,5660,5710,NA,5668,42,NA,NA,NA,38,108,-101,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2000-01-21,5656,5738,5631,5681,145,5682,-1,NA,NA,NA,201,108,-101,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-24,5687,5778,5681,5691,142,5686,5,NA,NA,NA,241,108,-101,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
2000-01-25,5601,5655,5590,5598,139,5685,-87,NA,NA,NA,58,108,-101,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2000-01-26,5637,5687,5619,5646,135,5691,-45,NA,NA,NA,0,108,-101,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-27,5672,5728,5625,5688,133,5697,-9,NA,NA,NA,74,108,-101,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-28,5743,5813,5696,5731,132,5691,40,NA,NA,NA,149,108,-101,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-31,5678,5708,5626,5660,130,5673,-13,0,15,-15,27,108,-101,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-02-01,5701,5798,5701,5773,131,5683,90,45,10,35,-14,108,-101,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-02-02,5814,5956,5811,5947,135,5712,235,100,5,95,104,108,-101,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-02-03,6026,6150,5979,6150,140,5756,394,100,0,100,477,108,-101,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-02-04,6197,6312,6193,6276,141,5816,460,100,0,100,627,108,-101,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
