,Date,Open,High,Low,Close,a1,a2,a3,a4,pl,,,
2000,30/10/2007,5821,5823,5795,5804,-67,183,-164,-48,-17,1,,
2001,31/10/2007,5804,5848,5794,5848,292,-132,-61,99,44,0,1,
2002,01/11/2007,5852,5855,5705,5731,-212,-319,-143,-674,-121,1,0,
2003,02/11/2007,5685,5726,5669,5720,-79,-45,-26,-150,35,0,0,
2004,05/11/2007,5677,5698,5660,5685,132,-62,-77,-7,8,0,0,
2005,06/11/2007,5702,5729,5684,5709,-281,58,-301,-524,7,0,0,
2006,07/11/2007,5738,5760,5646,5683,21,-7,26,40,-55,0,0,
2007,08/11/2007,5602,5675,5590,5632,89,-137,-301,-349,30,0,0,
2008,09/11/2007,5641,5661,5494,5524,226,-8,-61,157,-117,0,0,
2009,12/11/2007,5489,5540,5484,5536,-209,-307,-142,-658,47,0,0,
2010,13/11/2007,5509,5554,5486,5539,-16,175,221,380,30,0,1,
2011,14/11/2007,5626,5639,5591,5614,28,52,95,175,-12,0,0,
2012,15/11/2007,5598,5611,5526,5561,-106,-240,42,-304,-37,1,0,2
2013,16/11/2007,5519,5552,5497,5524,-185,80,53,-52,5,0,0,2
2014,19/11/2007,5520,5565,5429,5433,-218,30,-184,-372,-87,1,0,2
2015,20/11/2007,5460,5517,5413,5507,316,-208,86,194,47,0,1,3
2016,21/11/2007,5428,5443,5359,5381,36,71,27,134,-47,0,0,4
2017,22/11/2007,5403,5433,5364,5416,-60,-176,-57,-293,13,0,0,4
2018,23/11/2007,5406,5530,5406,5521,56,-76,88,68,115,0,1,4
2019,26/11/2007,5558,5568,5450,5458,-9,-110,-174,-293,-100,1,0,5
2020,27/11/2007,5422,5467,5384,5434,-7,9,-24,-22,12,0,0,6
2021,28/11/2007,5462,5578,5407,5561,315,517,-18,814,99,0,1,5
2022,29/11/2007,5597,5615,5550,5598,500,111,93,704,1,0,1,6
2023,30/11/2007,5603,5686,5597,5671,117,-78,55,94,68,0,1,6
2024,03/12/2007,5654,5680,5620,5629,-69,-91,-25,-185,-25,1,0,7
2025,04/12/2007,5620,5622,5538,5547,113,96,131,340,-73,0,0,7
2026,05/12/2007,5586,5663,5577,5659,203,-114,147,236,73,0,1,6
2027,06/12/2007,5682,5725,5628,5674,57,-220,9,-154,-8,1,0,7
2028,07/12/2007,5700,5745,5700,5719,-455,-200,-59,-714,19,0,0,8
2029,10/12/2007,5684,5771,5681,5751,-131,-9,127,-13,67,0,0,7
2030,11/12/2007,5765,5768,5703,5725,-200,-90,-43,-333,-40,1,0,6
2031,12/12/2007,5650,5795,5625,5743,96,18,-127,-13,93,0,0,7
2032,13/12/2007,5677,5677,5582,5591,-139,-141,-127,-407,-86,1,0,6
2033,14/12/2007,5625,5632,5561,5605,5,-419,96,-318,-20,1,0,6
2034,17/12/2007,5533,5542,5500,5515,-13,-277,65,-225,-18,1,0,6
2035,18/12/2007,5499,5581,5499,5509,-385,-11,-67,-463,10,0,0,6
2036,19/12/2007,5517,5548,5466,5497,-84,35,-67,-116,-20,1,0,6
2037,20/12/2007,5521,5550,5494,5511,39,-15,-67,-43,-10,1,0,6
2038,21/12/2007,5577,5623,5563,5603,63,56,90,209,26,0,1,6
2039,24/12/2007,5620,5622,5603,5614,-87,-286,-150,-523,-6,1,0,7
2040,27/12/2007,5626,5656,5618,5627,-88,241,257,410,1,0,1,8
2041,28/12/2007,5595,5640,5594,5627,186,415,182,783,32,0,1,8
2042,31/12/2007,5621,5622,5601,5614,-106,-211,135,-182,-7,1,0,9
2043,02/01/2008,5610,5666,5530,5550,43,-78,-157,-192,-60,1,0,9
2044,03/01/2008,5538,5559,5516,5546,23,40,35,98,8,0,1,9
2045,04/01/2008,5544,5567,5418,5447,-79,-45,42,-82,-97,1,0,9
2046,07/01/2008,5432,5475,5429,5453,57,-14,-44,-1,21,0,0,10
2047,08/01/2008,5477,5534,5471,5496,-9,56,-9,38,19,0,1,9
2048,09/01/2008,5459,5463,5420,5435,61,-483,-55,-477,-24,1,0,9
2049,10/01/2008,5469,5472,5395,5400,237,-319,-16,-98,-69,1,0,9
2050,11/01/2008,5398,5411,5349,5371,-211,-323,-313,-847,-27,1,0,9
2051,14/01/2008,5346,5421,5343,5404,-75,-175,39,-211,58,0,0,9
2052,15/01/2008,5390,5394,5250,5251,-142,191,-45,4,-139,0,0,8
2053,16/01/2008,5216,5289,5178,5225,-62,-920,-62,-1044,9,0,0,7
2054,17/01/2008,5278,5278,5150,5157,-141,-748,-141,-1030,-121,1,0,6
2055,18/01/2008,5160,5232,5081,5092,-158,275,-68,49,-68,0,0,6
