"Date","Open","High","Low","Close","atr","sma","Diff","aroonUp","aroonDn","oscillator","mom","prev_smadiff","prev_aroon_up","prev_aroon_dn","prev_aroon_os","prev_mom","pl"
"03/01/2000",6962,7159,6721,6751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-211
"04/01/2000",6747,6755,6510,6587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-160
"05/01/2000",6586,6586,6389,6502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-84
"06/01/2000",6501,6539,6403,6475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26
"07/01/2000",6490,6792,6470,6781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,291
"10/01/2000",6785,6975,6785,6926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141
"11/01/2000",6926,6944,6821,6891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-35
"12/01/2000",6879,6914,6783,6913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
"13/01/2000",6913,7106,6899,6956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43
"14/01/2000",6960,7207,6960,7173,NA,6796,377,NA,NA,NA,NA,NA,NA,NA,NA,NA,213
"17/01/2000",7177,7297,7113,7259,NA,6846,413,NA,NA,NA,NA,377,NA,NA,NA,NA,82
"18/01/2000",7262,7306,7054,7072,NA,6895,177,NA,NA,NA,NA,413,NA,NA,NA,NA,-190
"19/01/2000",7065,7110,6987,7091,NA,6954,137,NA,NA,NA,340,177,NA,NA,NA,NA,26
"20/01/2000",7096,7231,7077,7113,NA,7018,95,NA,NA,NA,526,137,NA,NA,NA,340,17
"21/01/2000",7104,7104,6940,6993,192,7039,-46,NA,NA,NA,491,95,NA,NA,NA,526,-111
"24/01/2000",6988,7092,6922,6932,191,7039,-107,NA,NA,NA,457,-46,NA,NA,NA,491,-56
"25/01/2000",6928,6928,6810,6810,186,7031,-221,NA,NA,NA,29,-107,NA,NA,NA,457,-118
"26/01/2000",6838,6981,6838,6969,185,7037,-68,NA,NA,NA,43,-221,NA,NA,NA,29,131
"27/01/2000",6983,7170,6945,7126,188,7054,72,NA,NA,NA,235,-68,NA,NA,NA,43,143
"28/01/2000",7128,7215,7040,7067,187,7043,24,NA,NA,NA,154,72,NA,NA,NA,235,-61
"31/01/2000",7054,7054,6817,6836,191,7001,-165,50,15,35,-120,24,NA,NA,NA,154,-218
"01/02/2000",6841,7052,6841,7050,193,6999,51,45,10,35,-123,-165,50,15,35,-120,209
"02/02/2000",7064,7172,7039,7172,189,7007,165,40,5,35,-87,51,45,10,35,-123,108
"03/02/2000",7176,7355,7134,7354,191,7031,323,100,0,100,282,165,40,5,35,-87,178
"04/02/2000",7356,7492,7338,7445,188,7076,369,100,0,100,354,323,100,0,100,282,89
"07/02/2000",7451,7451,7270,7296,188,7112,184,95,55,40,183,369,100,0,100,354,-155
"08/02/2000",7296,7571,7263,7550,196,7186,364,100,50,50,557,184,95,55,40,183,254
"09/02/2000",7567,7677,7526,7629,193,7252,377,100,45,55,697,364,100,50,50,557,62
"10/02/2000",7617,7709,7496,7709,195,7311,398,100,40,60,899,377,100,45,55,697,92
"11/02/2000",7724,7812,7586,7612,197,7365,247,95,35,60,643,398,100,40,60,899,-112
"14/02/2000",7569,7660,7542,7645,191,7446,199,90,30,60,519,247,95,35,60,643,76
"15/02/2000",7636,7700,7396,7396,199,7481,-85,85,25,60,329,199,90,30,60,519,-240
"16/02/2000",7401,7597,7343,7490,203,7513,-23,80,20,60,654,-85,85,25,60,329,89
"17/02/2000",7478,7637,7394,7581,206,7535,46,75,15,60,531,-23,80,20,60,654,103
"18/02/2000",7584,7659,7544,7574,200,7548,26,70,10,60,402,46,75,15,60,531,-10
"21/02/2000",7568,7591,7448,7591,195,7578,13,65,5,60,237,26,70,10,60,402,23
"22/02/2000",7580,7726,7540,7608,195,7584,24,60,0,60,163,13,65,5,60,237,28
"23/02/2000",7620,7772,7620,7699,193,7590,109,55,15,40,403,24,60,0,60,163,79
"24/02/2000",7697,7813,7587,7641,195,7584,57,50,10,40,91,109,55,15,40,403,-56
"25/02/2000",7669,7777,7641,7739,191,7596,143,100,5,95,110,57,50,10,40,91,70
"28/02/2000",7733,7747,7492,7587,195,7591,-4,95,0,95,-122,143,100,5,95,110,-146
"29/02/2000",7591,7700,7591,7645,189,7616,29,90,0,90,33,-4,95,0,95,-122,54
"01/03/2000",7645,7769,7619,7728,187,7639,89,85,0,85,83,29,90,0,90,33,83
"02/03/2000",7721,7951,7640,7946,196,7676,270,100,10,90,550,89,85,0,85,83,225
"03/03/2000",7952,8022,7875,7960,192,7714,246,100,5,95,470,270,100,10,90,550,8
"06/03/2000",7960,8031,7925,7976,186,7753,223,100,0,100,395,246,100,5,95,470,16
"07/03/2000",7971,8136,7922,8065,188,7799,266,100,25,75,491,223,100,0,100,395,94
"08/03/2000",8070,8098,7949,7987,185,7827,160,95,20,75,396,266,100,25,75,491,-83
"09/03/2000",7984,8085,7877,7949,187,7858,91,90,15,75,341,160,95,20,75,396,-35
"10/03/2000",7953,8076,7953,7976,183,7882,94,85,10,75,277,91,90,15,75,341,23
"13/03/2000",7977,7991,7630,7694,195,7893,-199,80,5,75,53,94,85,10,75,277,-283
"14/03/2000",7696,7757,7630,7650,190,7893,-243,75,0,75,-89,-199,80,5,75,53,-46
"15/03/2000",7633,7633,7412,7414,194,7862,-448,70,100,-30,-173,-243,75,0,75,-89,-219
"16/03/2000",7417,7648,7417,7584,197,7826,-242,65,95,-30,-61,-448,70,100,-30,-173,167
"17/03/2000",7595,7835,7575,7711,201,7801,-90,60,90,-30,-17,-242,65,95,-30,-61,116
"20/03/2000",7716,7888,7716,7872,199,7790,82,55,85,-30,-74,-90,60,90,-30,-17,156
"21/03/2000",7865,7865,7736,7808,195,7764,44,50,80,-30,-152,82,55,85,-30,-74,-57
"22/03/2000",7828,7950,7787,7799,193,7746,53,45,75,-30,-177,44,50,80,-30,-152,-29
"23/03/2000",7804,7873,7677,7695,193,7720,-25,40,70,-30,-370,53,45,75,-30,-177,-109
"24/03/2000",7706,7932,7706,7932,196,7716,216,35,65,-30,-55,-25,40,70,-30,-370,226
"27/03/2000",7933,7940,7832,7892,190,7736,156,30,60,-30,-57,216,35,65,-30,-55,-41
"28/03/2000",7891,8031,7880,7932,187,7764,168,25,55,-30,-44,156,30,60,-30,-57,41
"29/03/2000",7931,7964,7859,7865,181,7809,56,20,50,-30,171,168,25,55,-30,-44,-66
"30/03/2000",7835,7850,7611,7645,186,7815,-170,15,45,-30,-5,56,20,50,-30,171,-190
"31/03/2000",7650,7704,7523,7599,186,7804,-205,10,40,-30,185,-170,15,45,-30,-5,-51
"03/04/2000",7600,7642,7404,7429,190,7760,-331,5,35,-30,-155,-205,10,40,-30,185,-171
"04/04/2000",7431,7567,7430,7523,186,7731,-208,0,30,-30,-188,-331,5,35,-30,-155,92
"05/04/2000",7502,7539,7206,7331,196,7684,-353,0,100,-100,-541,-208,0,30,-30,-188,-171
"06/04/2000",7345,7480,7326,7446,193,7659,-213,5,95,-90,-362,-353,0,100,-100,-541,101
