,Date,Open,High,Low,Close,a1,a2,a3,a4,pl,,,
2000,08/11/2007,7772,7844,7702,7819,-625,57,51,-517,47,0,,
2001,09/11/2007,7830,7919,7793,7812,68,-145,-197,-274,-18,1,0,
2002,12/11/2007,7780,7811,7766,7807,-635,53,-29,-611,27,0,0,
2003,13/11/2007,7781,7792,7752,7778,-71,-146,52,-165,-3,1,0,
2004,14/11/2007,7821,7866,7766,7783,-214,-601,-15,-830,-38,1,0,
2005,15/11/2007,7782,7804,7636,7667,38,148,-201,-15,-115,1,0,
2006,16/11/2007,7636,7656,7565,7612,-488,-458,-76,-1022,-24,1,0,
2007,19/11/2007,7608,7623,7499,7512,-72,-466,-120,-658,-96,1,0,
2008,20/11/2007,7550,7634,7524,7630,-13,384,41,412,80,0,1,
2009,21/11/2007,7570,7570,7475,7518,126,76,-8,194,-52,0,0,
2010,22/11/2007,7539,7581,7488,7562,124,23,23,170,23,0,1,
2011,23/11/2007,7565,7620,7549,7609,-15,123,86,194,44,0,1,
2012,26/11/2007,7642,7675,7560,7567,-354,-241,-181,-776,-75,1,0,8
2013,27/11/2007,7538,7546,7445,7531,-43,-616,-99,-758,-7,1,0,9
2014,28/11/2007,7552,7729,7537,7724,247,55,247,549,172,0,1,9
2015,29/11/2007,7755,7780,7729,7765,158,45,-140,63,10,0,1,9
2016,30/11/2007,7772,7894,7772,7871,214,-4,99,309,99,0,1,9
2017,03/12/2007,7859,7890,7826,7837,42,-54,-54,-66,-22,1,0,9
2018,04/12/2007,7842,7850,7785,7809,120,64,45,229,-33,0,0,9
2019,05/12/2007,7851,7954,7843,7945,-151,69,24,-58,94,0,0,8
2020,06/12/2007,7958,7998,7911,7941,247,114,131,492,-17,0,0,8
2021,07/12/2007,7963,8010,7958,7994,95,-18,31,108,31,0,1,7
2022,10/12/2007,7973,8058,7955,8033,38,-197,-45,-204,60,0,0,7
2023,11/12/2007,8050,8067,7983,8009,118,-141,-120,-143,-41,1,0,6
2024,12/12/2007,7969,8118,7928,8076,-84,228,225,369,107,0,1,6
2025,13/12/2007,8014,8034,7923,7928,-210,-35,-61,-306,-86,1,0,6
2026,14/12/2007,7949,7987,7873,7948,7,71,70,148,-1,0,0,6
2027,17/12/2007,7884,7884,7812,7825,207,-245,-175,-213,-59,1,0,5
2028,18/12/2007,7811,7943,7796,7851,-30,142,40,152,40,0,1,5
2029,19/12/2007,7865,7877,7777,7837,-53,511,-1,457,-28,0,0,6
2030,20/12/2007,7842,7919,7842,7869,105,702,190,997,27,0,1,6
2031,21/12/2007,7913,8015,7913,8003,86,82,-7,161,90,0,1,7
2032,27/12/2007,8039,8074,8025,8039,-143,-256,-7,-406,0,0,0,7
2033,28/12/2007,8011,8069,7992,8067,67,-380,53,-260,56,0,0,7
2034,02/01/2008,8046,8101,7925,7949,-97,-296,-84,-477,-97,1,0,6
2035,03/01/2008,7942,7970,7858,7908,-122,-176,143,-155,-34,1,0,6
2036,04/01/2008,7914,7915,7780,7809,22,-517,29,-466,-105,1,0,6
2037,07/01/2008,7811,7859,7782,7817,-265,-40,67,-238,6,0,0,7
2038,08/01/2008,7844,7923,7832,7850,60,46,174,280,6,0,1,6
2039,09/01/2008,7839,7842,7770,7783,89,-606,100,-417,-56,1,0,6
2040,10/01/2008,7799,7831,7701,7713,-15,-608,-106,-729,-86,1,0,7
2041,11/01/2008,7717,7746,7675,7718,-383,-817,-335,-1535,1,0,0,7
2042,14/01/2008,7693,7759,7684,7732,310,-284,-15,11,39,0,1,6
2043,15/01/2008,7715,7724,7564,7566,-625,-581,-432,-1638,-149,1,0,7
2044,16/01/2008,7536,7556,7450,7472,-154,-272,-70,-496,-64,1,0,8
2045,17/01/2008,7505,7547,7400,7414,-199,-132,-199,-530,-91,1,0,8
2046,18/01/2008,7418,7501,7287,7314,48,293,-129,212,-104,0,0,8
2047,21/01/2008,7293,7293,6763,6790,-503,-231,-503,-1237,-503,1,0,7
2048,22/01/2008,6591,6878,6421,6769,178,178,178,534,178,0,1,8
2049,23/01/2008,6812,6885,6384,6439,-373,-250,-373,-996,-373,1,0,8
2050,24/01/2008,6550,6855,6550,6821,271,691,271,1233,271,0,1,8
2051,25/01/2008,6884,7002,6782,6817,-67,-67,-67,-201,-67,1,0,8
2052,28/01/2008,6749,6827,6680,6819,70,70,39,179,70,0,1,9
2053,29/01/2008,6835,6930,6824,6893,108,73,66,247,58,0,1,9
2054,30/01/2008,6887,6921,6822,6875,-146,164,-13,5,-12,0,0,9
2055,31/01/2008,6857,6888,6691,6852,-225,-209,38,-396,-5,1,0,8
2056,01/02/2008,6896,7037,6896,6969,339,147,265,751,73,0,1,8
2057,04/02/2008,7019,7059,6976,7000,44,-122,-6,-84,-19,1,0,9
2058,05/02/2008,6999,7000,6744,6765,-67,-420,-274,-761,-234,1,0,9
2059,06/02/2008,6727,6862,6697,6848,-250,119,-165,-296,121,0,0,9
2060,07/02/2008,6829,6839,6656,6734,-225,21,1,-203,-95,1,0,8
2061,08/02/2008,6778,6852,6706,6767,-207,-11,74,-144,-11,1,0,8
2062,11/02/2008,6724,6812,6691,6744,176,174,-50,300,20,0,1,8
2063,12/02/2008,6793,6979,6746,6968,139,-41,158,256,175,0,1,8
2064,13/02/2008,6914,7007,6870,6974,-12,104,46,138,60,0,1,8
2065,14/02/2008,7025,7062,6935,6962,-111,63,-73,-121,-63,1,0,9
2066,15/02/2008,6967,7013,6798,6832,-96,-132,-9,-237,-135,1,0,9
2067,19/02/2008,6948,7080,6891,7002,-71,-101,-41,-213,54,0,0,9
2068,20/02/2008,6933,6965,6853,6900,73,-1,-143,-71,-33,1,0,8
2069,21/02/2008,6928,7018,6881,6905,-354,254,-419,-519,-23,1,0,8
2070,22/02/2008,6889,6889,6763,6806,-106,110,-419,-415,-83,1,0,9
2071,25/02/2008,6851,6923,6825,6883,365,-20,205,550,32,0,1,9
2072,26/02/2008,6906,7007,6906,6986,174,55,218,447,80,0,1,9
2073,27/02/2008,7008,7018,6881,6998,-78,7,127,56,-10,0,0,9
2074,28/02/2008,6985,6995,6850,6863,-45,-426,146,-325,-122,1,0,8
2075,29/02/2008,6848,6865,6699,6748,-105,-94,48,-151,-100,1,0,8
2076,03/03/2008,6693,6702,6609,6690,-1,-3,24,20,-3,0,0,8
2077,04/03/2008,6693,6720,6517,6545,-13,-459,-147,-619,-148,1,0,7
2078,05/03/2008,6583,6699,6579,6684,101,383,101,585,101,0,1,8
2079,06/03/2008,6675,6683,6570,6591,-488,-166,-195,-849,-84,1,0,8
2080,07/03/2008,6551,6562,6451,6514,8,-37,-231,-260,-37,1,0,8
2081,10/03/2008,6487,6537,6415,6448,-83,133,-29,21,-39,0,0,8
2082,11/03/2008,6463,6604,6432,6525,205,-489,71,-213,62,0,0,7
2083,12/03/2008,6575,6667,6569,6599,24,-475,175,-276,24,0,0,6
2084,13/03/2008,6530,6530,6399,6501,-143,-134,-13,-290,-29,1,0,6
2085,14/03/2008,6500,6623,6392,6452,10,-122,273,161,-48,0,0,6
2086,17/03/2008,6361,6362,6168,6182,-625,-206,-60,-891,-179,1,0,5
2087,18/03/2008,6238,6418,6238,6393,307,-231,215,291,155,0,1,6
2088,19/03/2008,6429,6470,6311,6361,162,157,-172,147,-68,0,0,6
2089,20/03/2008,6331,6376,6271,6320,100,-602,-89,-591,-11,1,0,5
2090,25/03/2008,6443,6540,6443,6525,82,-19,183,246,82,0,1,5
2091,26/03/2008,6508,6538,6469,6489,-374,62,22,-290,-19,1,0,5
2092,27/03/2008,6486,6610,6479,6578,-257,-547,-33,-837,92,0,0,6
2093,28/03/2008,6587,6616,6535,6560,147,-182,-17,-52,-27,1,0,6
2094,31/03/2008,6530,6541,6430,6535,112,-49,63,126,5,0,1,7
2095,01/04/2008,6519,6734,6497,6720,-106,6,50,-50,201,0,0,7
2096,02/04/2008,6749,6807,6726,6777,-67,28,13,-26,28,0,0,7
2097,03/04/2008,6788,6803,6696,6742,-450,-46,-46,-542,-46,1,0,6
2098,04/04/2008,6754,6797,6691,6763,95,-49,23,69,9,0,1,6
2099,07/04/2008,6803,6843,6795,6821,-73,121,-115,-67,18,0,0,7
2100,08/04/2008,6795,6795,6724,6772,533,75,50,658,-23,0,0,6
2101,09/04/2008,6751,6785,6705,6721,-247,-68,44,-271,-30,1,0,5
2102,10/04/2008,6717,6719,6609,6704,-217,88,384,255,-13,0,0,5
2103,11/04/2008,6739,6768,6571,6604,210,-246,358,322,-135,0,0,5
2104,14/04/2008,6562,6573,6517,6554,-3,-42,246,201,-8,0,0,4
2105,15/04/2008,6581,6627,6525,6585,-278,4,-88,-362,4,0,0,3
2106,16/04/2008,6625,6711,6601,6703,208,-198,381,391,78,0,1,3
2107,17/04/2008,6717,6743,6665,6682,-8,-63,94,23,-35,0,0,4
2108,18/04/2008,6703,6860,6703,6843,-231,251,25,45,140,0,1,3
2109,21/04/2008,6841,6849,6750,6787,159,-134,-159,-134,-54,1,0,3
2110,22/04/2008,6762,6819,6703,6728,-467,454,-152,-165,-34,1,0,4
2111,23/04/2008,6740,6814,6657,6795,131,92,137,360,55,0,1,5
2112,24/04/2008,6777,6828,6721,6821,-135,155,44,64,44,0,1,5
2113,25/04/2008,6856,6945,6849,6897,7,82,71,160,41,0,1,6
