Date,Open,High,Low,Close
03/01/2000,11501.9,11522,11305.7,11357.5
04/01/2000,11349.8,11350.1,10986.5,10997.9
05/01/2000,10989.4,11215.1,10938.7,11122.7
06/01/2000,11113.4,11313.5,11098.5,11253.3
07/01/2000,11247.1,11528.1,11239.9,11522.6
10/01/2000,11532.5,11638.3,11532.5,11572.2
11/01/2000,11568.5,11663.1,11502.7,11511.1
12/01/2000,11506.7,11612.5,11505.2,11551.1
13/01/2000,11558.2,11656.6,11524.1,11582.4
14/01/2000,11619.4,11750.3,11612.5,11723
18/01/2000,11719.2,11720.1,11546.5,11560.7
19/01/2000,11535.2,11574.7,11456,11489.4
20/01/2000,11490.3,11558.7,11275,11351.3
21/01/2000,11356.3,11387.6,11232.5,11251.7
24/01/2000,11251.9,11366.5,10917.3,11008.2
25/01/2000,11011,11079.5,10883.5,11029.9
26/01/2000,11025.9,11131,11002.6,11033
27/01/2000,11035.6,11164.1,10915.4,11028
28/01/2000,11024.9,11024.9,10735.8,10738.9
31/01/2000,10735.8,10956.7,10701.6,10940.5
01/02/2000,10937.7,11073.3,10908,11041.1
02/02/2000,11037.6,11118.9,10987.1,11003.2
03/02/2000,11010.5,11079.5,10842.3,11013.4
04/02/2000,11014.4,11089.5,10943,10963.8
07/02/2000,10966,10970.9,10846.2,10905.8
08/02/2000,10904.3,11023.1,10904.3,10957.6
09/02/2000,10948.8,10948.8,10698.9,10699.2
10/02/2000,10697.9,10738.3,10606.4,10643.6
11/02/2000,10638.6,10638.6,10357,10425.2
14/02/2000,10431.7,10549,10430.8,10519.8
15/02/2000,10520.2,10763.1,10494.5,10718.1
16/02/2000,10711.8,10741.7,10561.4,10561.4
17/02/2000,10565.8,10671.9,10454.6,10514.6
18/02/2000,10514.6,10517.8,10200,10219.5
22/02/2000,10219.8,10336.8,10103.8,10304.8
23/02/2000,10294.82,10338.35,10164.92,10225.73
24/02/2000,10242.5,10248.1,9942.8,10092.6
25/02/2000,10090.8,10132.4,9836.1,9862.1
28/02/2000,9854.7,10156.5,9842.6,10038.7
29/02/2000,10039.6,10204.9,10030,10128.3
01/03/2000,10128.1,10186.3,10084.6,10137.9
02/03/2000,10135.4,10212.4,10103.5,10164.9
03/03/2000,10171.1,10443.5,10171.1,10367.2
06/03/2000,10359,10384,10121.5,10170.5
07/03/2000,10197.6,10229.1,9752.7,9796
08/03/2000,9800.7,9918.9,9731.8,9856.5
09/03/2000,9855.3,10010.7,9739,10010.7
10/03/2000,10008.6,10091.4,9907.3,9928.8
13/03/2000,9911.2,9998.6,9735.5,9947.1
14/03/2000,9957.7,10043.3,9811.2,9811.2
15/03/2000,9808.2,10180.2,9776.5,10131.4
16/03/2000,10139.6,10632.5,10138.3,10630.6
17/03/2000,10630,10763.4,10567.3,10595.2
20/03/2000,10594.8,10727.7,10587,10680.2
21/03/2000,10680.2,10907.3,10603.6,10907.3
22/03/2000,10917,10917.3,10789.1,10866.7
23/03/2000,10884.4,11136.6,10831,11119.9
24/03/2000,11107.5,11234.7,11045.1,11112.7
27/03/2000,11093.3,11170.8,10982.7,11025.9
28/03/2000,11023.7,11094.3,10932.8,10936.1
29/03/2000,10939.1,11101.6,10910.8,11018.7
30/03/2000,11008.2,11144.1,10916.3,10980.3
31/03/2000,10993.3,11107.8,10921.9,10921.9
03/04/2000,10863.3,11223.8,10863,11221.9
04/04/2000,11225.3,11418.2,10717.8,11164.8
05/04/2000,11163.3,11218.2,11002.6,11033.9
06/04/2000,11029.6,11201.1,11029.6,11114.3
07/04/2000,11122,11192.5,11062.8,11111.5
10/04/2000,11114.9,11287.7,11097.2,11186.6
11/04/2000,11181,11361.2,11102.5,11287.1
12/04/2000,11283.1,11425.5,11116.8,11125.1
13/04/2000,11132.6,11144.1,10920.8,10923.6
14/04/2000,10922.9,10922.9,10201.5,10305.8
17/04/2000,10303.3,10583.8,10232.6,10582.5
18/04/2000,10584,10773.9,10571.3,10767.4
19/04/2000,10749,10789.4,10632.2,10675
20/04/2000,10668.2,10845.3,10665.1,10844.1
24/04/2000,10822.3,10910.8,10695.4,10906.1
25/04/2000,10916.7,11136.6,10881,11124.8
26/04/2000,11127.9,11141.9,10902.1,10945.5
27/04/2000,10941.9,10941.9,10747.3,10888.1
28/04/2000,10892.8,10959.2,10715.3,10733.9
01/05/2000,10749.42,10926.26,10724.22,10811.78
02/05/2000,10805.6,10824.5,10710,10731.1
03/05/2000,10732.2,10732.2,10400.1,10480.1
04/05/2000,10478.9,10523.1,10407.5,10412.5
05/05/2000,10409.7,10585.9,10375.8,10577.9
08/05/2000,10571.3,10627.9,10522.1,10603.6
09/05/2000,10607.5,10684.9,10514.3,10536.8
10/05/2000,10533.1,10533.1,10292.1,10367.8
11/05/2000,10369.3,10575.1,10369.3,10546
12/05/2000,10549.1,10673.8,10543.9,10609.4
15/05/2000,10607,10811.6,10605.3,10807.8
16/05/2000,10816,10971.2,10816,10934.6
17/05/2000,10930.6,10930.6,10752.6,10769.7
18/05/2000,10771.8,10864.3,10764.3,10777.3
19/05/2000,10764.2,10764.2,10570.7,10626.9
22/05/2000,10624.8,10664.5,10369.5,10542.6
23/05/2000,10539.1,10557.5,10416.8,10422.3
24/05/2000,10420.9,10554.9,10364,10535.4
25/05/2000,10529.9,10558.7,10266,10323.9
26/05/2000,10322.9,10387.7,10258.8,10299.2
30/05/2000,10302.3,10528.2,10302.3,10527.1
31/05/2000,10528.3,10599.4,10490.8,10522.3
01/06/2000,10532.3,10673.5,10513.1,10652.2
02/06/2000,10660.09,10846.08,10660.09,10794.76
05/06/2000,10793.1,10863,10752.3,10815.3
06/06/2000,10822.6,10822.6,10707.7,10735.6
07/06/2000,10733.5,10848.4,10695.2,10812.9
08/06/2000,10818.8,10823.7,10635.7,10668.7
09/06/2000,10678.47,10763.77,10588.29,10614.06
12/06/2000,10615.1,10652.6,10564.2,10564.2
13/06/2000,10562.3,10654.7,10492.8,10621.8
14/06/2000,10632.5,10737.7,10624.7,10688
15/06/2000,10689.6,10763.7,10669.2,10714.8
16/06/2000,10717.8,10724.8,10449.3,10449.3
19/06/2000,10448.4,10597.4,10440.1,10557.8
20/06/2000,10558.9,10561.4,10407.9,10435.2
21/06/2000,10446.8,10521.1,10410.1,10497.7
22/06/2000,10496,10496,10335.5,10376.1
23/06/2000,10376.5,10478.7,10376.5,10404.8
26/06/2000,10403.7,10566.7,10403.7,10543
27/06/2000,10541.6,10615.8,10504.5,10504.5
28/06/2000,10506.39,10620.42,10506.39,10527.79
