"Date","Open","High","Low","Close","atr","sma","Diff","aroonUp","aroonDn","oscillator","mom","prev_smadiff","prev_aroon_up","prev_aroon_dn","prev_aroon_os","prev_mom","pl"
"03/01/2000",11502,11522,11306,11358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-144
"04/01/2000",11350,11350,10986,10998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-352
"05/01/2000",10989,11215,10939,11123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134
"06/01/2000",11113,11314,11098,11253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140
"07/01/2000",11247,11528,11240,11523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,276
"10/01/2000",11532,11638,11532,11572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40
"11/01/2000",11568,11663,11503,11511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-57
"12/01/2000",11507,11612,11505,11551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44
"13/01/2000",11558,11657,11524,11582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"14/01/2000",11619,11750,11612,11723,NA,11419,304,NA,NA,NA,NA,NA,NA,NA,NA,NA,104
"18/01/2000",11719,11720,11546,11561,NA,11440,121,NA,NA,NA,NA,304,NA,NA,NA,NA,-158
"19/01/2000",11535,11575,11456,11489,NA,11489,0,NA,NA,NA,NA,121,NA,NA,NA,NA,-46
"20/01/2000",11490,11559,11275,11351,NA,11512,-161,NA,NA,NA,-7,0,NA,NA,NA,NA,-139
"21/01/2000",11356,11388,11232,11252,NA,11512,-260,NA,NA,NA,254,-161,NA,NA,NA,-7,-104
"24/01/2000",11252,11366,10917,11008,216,11460,-452,NA,NA,NA,-115,-260,NA,NA,NA,254,-244
"25/01/2000",11011,11080,10884,11030,214,11406,-376,NA,NA,NA,-223,-452,NA,NA,NA,-115,19
"26/01/2000",11026,11131,11003,11033,208,11358,-325,NA,NA,NA,-490,-376,NA,NA,NA,-223,7
"27/01/2000",11036,11164,10915,11028,211,11306,-278,NA,NA,NA,-544,-325,NA,NA,NA,-490,-8
"28/01/2000",11025,11025,10736,10739,217,11221,-482,NA,NA,NA,-772,-278,NA,NA,NA,-544,-286
"31/01/2000",10736,10957,10702,10940,220,11143,-203,NA,NA,NA,-611,-482,NA,NA,NA,-772,204
"01/02/2000",10938,11073,10908,11041,216,11091,-50,45,90,-45,-541,-203,NA,NA,NA,-611,103
