,Date,Open,High,Low,Close,a1,a2,a3,a4,pl,,,
2000,14/12/2007,13515,13515,13332,13340,-382,-370,214,-538,-175,1,,
2001,17/12/2007,13339,13340,13158,13167,177,-315,-23,-161,-172,1,0,
2002,18/12/2007,13169,13280,13092,13232,105,63,63,231,63,0,1,
2003,19/12/2007,13232,13300,13147,13207,266,411,43,720,-25,0,0,
2004,20/12/2007,13206,13288,13154,13246,-11,113,43,145,40,0,1,
2005,21/12/2007,13242,13474,13242,13451,491,144,484,1119,209,0,1,
2006,24/12/2007,13451,13564,13449,13550,-6,236,-254,-24,99,0,0,
2007,26/12/2007,13548,13563,13493,13552,79,-352,81,-192,4,0,0,
2008,27/12/2007,13549,13551,13349,13360,-65,-695,-119,-879,-189,1,0,
2009,28/12/2007,13361,13451,13298,13366,397,64,173,634,5,0,1,
2010,31/12/2007,13364,13365,13246,13265,210,42,-60,192,-99,0,0,
2011,02/01/2008,13262,13280,12991,13044,-145,-76,-200,-421,-218,1,0,
2012,03/01/2008,13044,13138,13024,13057,392,935,-425,902,13,0,1,6
2013,04/01/2008,13047,13047,12789,12800,-247,471,-257,-33,-247,1,0,6
2014,07/01/2008,12801,12884,12734,12828,27,188,27,242,27,0,1,7
2015,08/01/2008,12821,12906,12565,12589,-391,22,-232,-601,-232,1,0,7
2016,09/01/2008,12590,12739,12502,12735,145,311,145,601,145,0,1,7
2017,10/01/2008,12733,12931,12632,12853,-87,54,-40,-73,120,0,0,8
2018,11/01/2008,12851,12851,12544,12606,-386,54,122,-210,-245,1,0,8
2019,14/01/2008,12614,12795,12614,12778,337,164,389,890,164,0,1,8
2020,15/01/2008,12778,12778,12489,12501,-684,-766,-355,-1805,-277,1,0,8
2021,16/01/2008,12477,12613,12392,12466,140,578,140,858,-11,0,0,9
2022,17/01/2008,12467,12518,12126,12159,-464,-458,-75,-997,-308,1,0,8
2023,18/01/2008,12160,12342,12022,12099,-22,676,-22,632,-61,0,0,8
2024,22/01/2008,12093,12093,11635,11971,28,249,28,305,-122,0,0,7
2025,23/01/2008,11969,12277,11645,12270,301,358,301,960,301,0,1,6
2026,24/01/2008,12273,12399,12242,12379,97,519,129,745,106,0,1,6
2027,25/01/2008,12392,12487,12184,12207,89,-256,57,-110,-185,1,0,6
2028,28/01/2008,12206,12386,12112,12384,612,142,348,1102,178,0,1,7
2029,29/01/2008,12385,12503,12347,12480,-119,10,95,-14,95,0,0,7
2030,30/01/2008,12480,12681,12406,12443,337,-384,-46,-93,-37,1,0,6
2031,31/01/2008,12438,12702,12250,12650,-192,233,394,435,212,0,1,6
2032,01/02/2008,12638,12768,12602,12743,94,97,105,296,105,0,1,7
2033,04/02/2008,12743,12750,12622,12635,-478,-306,-108,-892,-108,1,0,7
2034,05/02/2008,12632,12632,12264,12265,-367,-430,-341,-1138,-367,1,0,8
2035,06/02/2008,12257,12390,12178,12200,-353,-57,-123,-533,-57,1,0,9
2036,07/02/2008,12196,12332,12120,12247,65,51,275,391,51,0,1,9
2037,08/02/2008,12248,12282,12103,12182,117,33,-123,27,-66,0,0,9
2038,11/02/2008,12182,12252,12070,12240,360,58,275,693,58,0,1,8
2039,12/02/2008,12242,12469,12242,12373,841,127,201,1169,131,0,1,8
2040,13/02/2008,12368,12573,12368,12552,481,9,197,687,184,0,1,9
2041,14/02/2008,12552,12558,12362,12377,-175,-90,-224,-489,-175,1,0,9
2042,15/02/2008,12377,12377,12279,12348,488,-289,-367,-168,-29,1,0,9
2043,19/02/2008,12350,12505,12304,12337,-97,265,44,212,-13,0,0,9
2044,20/02/2008,12333,12464,12228,12427,107,-57,36,86,94,0,1,8
2045,21/02/2008,12427,12504,12247,12284,-22,527,-67,438,-143,0,0,8
2046,22/02/2008,12281,12398,12155,12381,415,100,81,596,100,0,1,7
2047,25/02/2008,12381,12585,12341,12570,169,172,820,1161,189,0,1,7
2048,26/02/2008,12570,12734,12512,12685,-44,-68,29,-83,115,0,0,8
2049,27/02/2008,12684,12757,12609,12694,-323,55,10,-258,10,0,0,7
2050,28/02/2008,12689,12689,12536,12582,-107,-170,-100,-377,-107,1,0,6
2051,29/02/2008,12580,12580,12224,12266,-300,-212,-416,-928,-314,1,0,6
2052,03/03/2008,12264,12281,12161,12259,-288,28,31,-229,-5,1,0,6
2053,04/03/2008,12259,12259,12032,12214,-390,-45,31,-404,-45,1,0,6
2054,05/03/2008,12205,12350,12140,12255,-196,587,50,441,50,0,1,7
2055,06/03/2008,12255,12255,12026,12040,-240,-215,-209,-664,-215,1,0,7
2056,07/03/2008,12039,12094,11820,11894,-180,390,-385,-175,-145,1,0,8
2057,10/03/2008,11893,11926,11732,11740,-153,-541,-153,-847,-153,1,0,8
2058,11/03/2008,11741,12161,11741,12157,416,669,416,1501,416,0,1,8
2059,12/03/2008,12149,12303,12092,12110,405,-49,-58,298,-39,0,0,9
2060,13/03/2008,12096,12215,11876,12146,61,-210,-158,-307,50,0,0,9
2061,14/03/2008,12146,12194,11833,11951,-253,-135,-741,-1129,-195,1,0,8
2062,17/03/2008,11946,12076,11757,11972,314,73,69,456,26,0,1,8
2063,18/03/2008,11976,12393,11976,12393,246,417,-137,526,417,0,1,8
2064,19/03/2008,12392,12462,12095,12100,-292,-297,-292,-881,-292,1,0,8
2065,20/03/2008,12102,12379,12098,12361,505,414,-34,885,259,0,1,8
2066,24/03/2008,12362,12622,12362,12549,187,-71,-131,-15,187,0,0,8
2067,25/03/2008,12547,12572,12449,12533,-14,34,-14,6,-14,0,0,7
2068,26/03/2008,12532,12532,12377,12423,-109,-126,-48,-283,-109,1,0,6
2069,27/03/2008,12422,12477,12293,12302,117,-185,-210,-278,-120,1,0,6
2070,28/03/2008,12304,12382,12197,12216,-508,15,-788,-1281,-88,1,0,7
2071,31/03/2008,12216,12326,12176,12263,-171,285,367,481,47,0,1,8
2072,01/04/2008,12267,12660,12266,12654,868,292,480,1640,387,0,1,8
2073,02/04/2008,12652,12696,12555,12609,167,-2,-107,58,-43,0,0,8
2074,03/04/2008,12606,12675,12528,12626,-286,-301,-281,-868,20,0,0,7
2075,04/04/2008,12626,12688,12528,12609,261,-151,191,301,-17,0,0,6
2076,07/04/2008,12613,12734,12583,12612,156,-39,-169,-52,-1,1,0,5
2077,08/04/2008,12603,12607,12526,12576,-136,132,-219,-223,-27,1,0,6
2078,09/04/2008,12575,12622,12469,12527,248,-262,237,223,-48,0,0,7
2079,10/04/2008,12527,12649,12497,12582,592,-75,339,856,55,0,1,6
2080,11/04/2008,12580,12580,12302,12325,-303,184,-448,-567,-255,1,0,6
2081,14/04/2008,12325,12368,12280,12302,547,53,254,854,-23,0,0,6
2082,15/04/2008,12302,12388,12270,12362,165,269,60,494,60,0,1,5
2083,16/04/2008,12372,12626,12372,12619,123,123,484,730,247,0,1,5
2084,17/04/2008,12617,12657,12563,12620,13,-113,250,150,3,0,1,6
2085,18/04/2008,12627,12894,12627,12849,177,471,250,898,222,0,1,7
2086,21/04/2008,12851,12851,12751,12825,-39,-26,-26,-91,-26,1,0,8
2087,22/04/2008,12825,12825,12657,12720,-143,-255,-298,-696,-105,1,0,8
2088,23/04/2008,12722,12837,12703,12763,70,94,54,218,41,0,1,8
2089,24/04/2008,12765,12942,12707,12849,-73,-168,286,45,84,0,1,9
2090,25/04/2008,12848,12909,12743,12892,381,180,140,701,44,0,1,9
2091,28/04/2008,12891,12939,12858,12872,-96,55,14,-27,-19,1,0,9
2092,29/04/2008,12870,12890,12805,12832,209,-408,-445,-644,-38,1,0,10
2093,30/04/2008,12832,13010,12809,12820,825,500,40,1365,-12,0,0,10
2094,01/05/2008,12818,13029,12793,13010,121,412,188,721,192,0,1,9
2095,02/05/2008,13012,13132,12982,13058,-388,-69,-228,-685,46,0,0,9
2096,05/05/2008,13057,13058,12940,12970,-534,56,-11,-489,-87,1,0,8
2097,06/05/2008,12969,13046,12863,13021,202,-118,13,97,52,0,1,8
2098,07/05/2008,13011,13037,12796,12814,682,-317,158,523,-197,0,0,8
2099,08/05/2008,12814,12910,12795,12867,-86,363,249,526,53,0,1,7
2100,09/05/2008,12861,12861,12715,12746,-302,267,-71,-106,-115,1,0,7
2101,12/05/2008,12746,12904,12740,12876,-272,-8,79,-201,130,0,0,7
2102,13/05/2008,12872,12891,12781,12832,103,-232,78,-51,-40,1,0,6
2103,14/05/2008,12825,12993,12825,12898,612,-416,60,256,73,0,1,6
2104,15/05/2008,12891,13000,12855,12993,45,1012,355,1412,102,0,1,7
2105,16/05/2008,12993,13002,12894,12987,380,-119,134,395,-6,0,0,7
2106,19/05/2008,12985,13137,12964,13028,175,-74,-44,57,43,0,1,7
