Date,Open,High,Low,Close
04/01/2000,6930.2,6930.2,6662.9,6662.9
05/01/2000,6665.9,6665.9,6500.4,6535.9
06/01/2000,6535.9,6547.3,6424.4,6447.2
07/01/2000,6477.2,6532.4,6438.8,6504.8
10/01/2000,6504.8,6634.2,6504.8,6607.7
11/01/2000,6607.7,6638.1,6510.8,6518.9
12/01/2000,6518.9,6532.8,6470.3,6532.8
13/01/2000,6532.8,6596.5,6509.4,6531.5
14/01/2000,6531.5,6666.8,6531.5,6658.2
17/01/2000,6658.2,6694.3,6638.3,6669.5
18/01/2000,6669.5,6695.9,6491.5,6504.6
19/01/2000,6504.6,6505.9,6434.4,6445.4
20/01/2000,6445.4,6492.7,6328.3,6348.7
21/01/2000,6348.7,6374.7,6287.1,6346.3
24/01/2000,6346.3,6480.4,6346.3,6379.8
25/01/2000,6379.8,6379.8,6262.9,6274.1
26/01/2000,6274.1,6380,6270.4,6375.6
27/01/2000,6375.6,6451.6,6375.6,6441
28/01/2000,6441,6475.1,6354.8,6375.6
31/01/2000,6375.6,6375.6,6246.8,6268.5
01/02/2000,6268.5,6367.1,6231.9,6290.9
02/02/2000,6290.9,6345.2,6241.6,6302.8
03/02/2000,6302.8,6393.5,6251.6,6324.3
04/02/2000,6324.3,6364.9,6171.2,6185
07/02/2000,6185,6232.1,6100.7,6118.6
08/02/2000,6118.6,6295.7,6117.3,6285.8
09/02/2000,6285.8,6450.9,6271.5,6315.4
10/02/2000,6315.4,6320,6199.8,6279.8
11/02/2000,6279.8,6325.7,6127.4,6193.3
14/02/2000,6193.3,6197.5,6027.5,6068.6
15/02/2000,6068.6,6167.5,5972.7,6005.2
16/02/2000,6005.2,6147.4,6002.5,6147.4
17/02/2000,6147.4,6262.2,6102.9,6209.3
18/02/2000,6209.3,6264.1,6151.4,6165
21/02/2000,6165,6193.6,6029.9,6081.6
22/02/2000,6081.6,6172.8,6002.7,6014.7
23/02/2000,6014.7,6167.3,6014.7,6144.1
24/02/2000,6144.1,6288.8,6070.9,6086.7
25/02/2000,6086.7,6198,6086.4,6198
28/02/2000,6198,6271.1,6054.1,6099.6
29/02/2000,6099.6,6245.5,6099.6,6232.6
01/03/2000,6232.6,6387.3,6232.6,6364.9
02/03/2000,6364.9,6436.5,6324.2,6432.1
03/03/2000,6432.1,6506.3,6403,6487.5
06/03/2000,6487.5,6593.3,6457,6567.8
07/03/2000,6567.8,6568.3,6465.5,6466.5
08/03/2000,6466.5,6479.7,6387.2,6411.2
09/03/2000,6411.2,6544.2,6411.2,6532.1
10/03/2000,6532.1,6642.5,6532.1,6568.7
13/03/2000,6380.6,6566.6,6380.6,6466.9
14/03/2000,6466.9,6539.7,6457.1,6487.1
15/03/2000,6487.1,6487.1,6396.1,6447
16/03/2000,6447,6618.2,6447,6557.2
17/03/2000,6557.2,6713.1,6504.1,6558
20/03/2000,6558,6653.4,6523.3,6626.5
21/03/2000,6624.5,6630.6,6543.4,6617.9
22/03/2000,6617.9,6692.3,6551.7,6609.6
23/03/2000,6609.6,6617.8,6538.7,6594.6
24/03/2000,6594.6,6755.1,6594.6,6738.5
27/03/2000,6738.5,6770.4,6654.4,6687.2
28/03/2000,6687.2,6734.9,6623.7,6650.1
29/03/2000,6650.4,6657.3,6570.3,6598.8
30/03/2000,6598.8,6598.8,6418.5,6445.2
31/03/2000,6445.2,6557.4,6385.8,6540.2
03/04/2000,6540.2,6540.2,6437.9,6462.1
04/04/2000,6462.1,6531.3,6415.5,6427
05/04/2000,6427,6428.5,6283.2,6379.3
06/04/2000,6379.3,6464.9,6353.8,6451.1
07/04/2000,6451.1,6586.3,6451.1,6569.9
10/04/2000,6569.9,6579.6,6510.4,6533.4
11/04/2000,6533.4,6534,6358.4,6379.2
12/04/2000,6379.2,6443.5,6333.6,6350.8
13/04/2000,6350.8,6381.9,6268.4,6357
14/04/2000,6357,6359.1,6149.8,6178.1
17/04/2000,6178.1,6178.1,5915.2,5994.6
18/04/2000,5994.6,6084.2,5951.7,6074
19/04/2000,6074,6193.6,6074,6184.9
20/04/2000,6184.9,6248.1,6134.4,6241.2
25/04/2000,6241.2,6313.8,6155.7,6283
26/04/2000,6283,6342.2,6247,6256.5
27/04/2000,6256.5,6306.2,6127.9,6179.3
28/04/2000,6179.3,6341.9,6179.3,6327.4
02/05/2000,6327.4,6412.6,6311.9,6373.4
03/05/2000,6373.4,6373.4,6176.1,6184.8
04/05/2000,6184.8,6231.4,6162.5,6199.6
05/05/2000,6199.6,6267.9,6190.5,6238.8
08/05/2000,6238.8,6299.4,6174.3,6216.3
09/05/2000,6216.3,6243.1,6112.9,6123.8
10/05/2000,6123.8,6182.9,6090.2,6100.6
11/05/2000,6100.6,6263.6,6051.5,6245.9
12/05/2000,6245.9,6304.2,6220.6,6283.5
15/05/2000,6283.5,6290.5,6218.2,6247.7
16/05/2000,6247.7,6349.1,6247.7,6318.4
17/05/2000,6318.4,6321.6,6189.2,6196.2
18/05/2000,6196.2,6256,6196.2,6232.9
19/05/2000,6232.9,6237.6,6039.1,6045.4
22/05/2000,6045.4,6130.1,5991.9,6035.5
23/05/2000,6035.5,6128.5,6026.1,6086.8
24/05/2000,6086.8,6127.1,5997.6,6118.6
25/05/2000,6118.6,6234.6,6118.6,6231.1
26/05/2000,6231.1,6252.2,6153.2,6216.9
30/05/2000,6216.9,6379.7,6216.9,6359.6
31/05/2000,6359.6,6419.9,6325.5,6359.3
01/06/2000,6359.3,6476.9,6344.4,6470.5
02/06/2000,6470.5,6634.9,6445.5,6626.4
05/06/2000,6626.4,6635.7,6540.4,6546.7
06/06/2000,6546.7,6619.6,6490,6546.8
07/06/2000,6546.8,6546.8,6476.4,6503.8
08/06/2000,6503.8,6592.7,6469.8,6496.6
09/06/2000,6496.6,6512.4,6438.1,6443.8
12/06/2000,6443.8,6479.8,6430.9,6430.9
13/06/2000,6430.9,6515.2,6430.8,6447.1
14/06/2000,6447.1,6551.7,6447.1,6536.3
15/06/2000,6536.3,6566.2,6490.8,6490.8
16/06/2000,6490.8,6566.7,6474.9,6526
19/06/2000,6490.8,6515.7,6467.5,6490.2
20/06/2000,6490.2,6536.5,6490.2,6526.9
21/06/2000,6526.9,6532.5,6429,6477.8
22/06/2000,6477.8,6530.7,6413.8,6413.8
23/06/2000,6413.8,6413.8,6367.8,6391.5
26/06/2000,6391.5,6447.7,6369,6405.2
27/06/2000,6405.2,6428.4,6365.6,6375.3
28/06/2000,6375.3,6394.4,6310.8,6313.5
29/06/2000,6313.5,6321,6221,6239
30/06/2000,6239,6323.2,6239,6312.7
03/07/2000,6312.7,6470.4,6309.3,6470.4
04/07/2000,6470.4,6470.4,6405.2,6417
05/07/2000,6417,6446,6345.5,6382.5
06/07/2000,6382.5,6438.4,6341.4,6419.6
07/07/2000,6419.6,6502.6,6390.2,6497.5
10/07/2000,6497.5,6515.2,6463.3,6466.2
11/07/2000,6466.2,6510.1,6450.5,6475.8
12/07/2000,6475.8,6545.1,6466.8,6518.5
13/07/2000,6518.5,6530.7,6460.3,6475.7
14/07/2000,6475.7,6503.2,6452.2,6475.4
17/07/2000,6475.4,6525.7,6473.7,6525.5
18/07/2000,6525.5,6531.4,6444.6,6450.5
19/07/2000,6450.5,6493.4,6420.4,6465.4
20/07/2000,6465.4,6491.1,6440.7,6469
21/07/2000,6469,6469,6365.5,6378.4
24/07/2000,6378.4,6422.6,6333,6381.3
25/07/2000,6381.3,6402.1,6354.5,6390.7
26/07/2000,6390.7,6425.6,6378.9,6387.1
27/07/2000,6387.1,6456.3,6352.1,6352.1
28/07/2000,6352.1,6390.3,6332.6,6335.7
31/07/2000,6335.7,6365.3,6274.9,6365.3
01/08/2000,6365.3,6403.1,6331.5,6379.3
02/08/2000,6379.1,6424.7,6378.4,6391
03/08/2000,6391.3,6399.9,6296.4,6317.1
04/08/2000,6317.1,6415,6317.1,6363.5
07/08/2000,6363.5,6400.6,6355.1,6387.8
08/08/2000,6387.8,6420,6350.3,6358.1
09/08/2000,6358.1,6463.1,6358.1,6414
10/08/2000,6414,6414,6369.4,6387.3
11/08/2000,6387.3,6394.6,6348.4,6384.5
14/08/2000,6384.5,6451.2,6365.5,6419.9
15/08/2000,6419.9,6482.8,6419.9,6475.5
16/08/2000,6475.5,6553.5,6457,6532
17/08/2000,6532,6537.4,6482,6518.2
18/08/2000,6518.2,6552,6510.8,6543.7
21/08/2000,6543.7,6555.5,6491.4,6542.2
22/08/2000,6542.2,6605.2,6520.3,6584.8
23/08/2000,6584.8,6590.7,6535.2,6566.2
24/08/2000,6566.2,6605.5,6546.7,6557
25/08/2000,6557,6619.1,6538.3,6563.7
29/08/2000,6563.7,6601.1,6560.2,6586.3
30/08/2000,6586.3,6624.9,6586.1,6615.1
31/08/2000,6615.1,6675.7,6585.2,6672.7
01/09/2000,6672.7,6838.6,6672.7,6795
04/09/2000,6795,6828.7,6783,6798.1
05/09/2000,6798.1,6809.5,6737.6,6752.5
06/09/2000,6752.5,6766,6688.4,6694.7
07/09/2000,6694.7,6709.1,6668.5,6689.2
08/09/2000,6689.2,6704.2,6561.1,6600.7
11/09/2000,6600.7,6604.1,6392.1,6582
12/09/2000,6582,6582,6528.5,6555.5
13/09/2000,6555.5,6559.8,6454.1,6478.2
14/09/2000,6478.2,6580.6,6460.7,6555.5
15/09/2000,6555.5,6559.2,6417.3,6417.3
18/09/2000,6417.3,6464.3,6371.4,6410.2
