"Date","Open","High","Low","Close","atr","sma","Diff","aroonUp","aroonDn","oscillator","mom","hi","lw","Hammer","InvertedHammer","Doji","DragonflyDoji","GravestoneDoji","Bull.Engulfing","Bear.Engulfing"
2000-01-04,6930,6930,6663,6663,NA,NA,NA,NA,NA,NA,NA,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
2000-01-05,6666,6666,6500,6536,NA,NA,NA,NA,NA,NA,NA,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-06,6536,6547,6424,6447,NA,NA,NA,NA,NA,NA,NA,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-07,6477,6532,6439,6505,NA,NA,NA,NA,NA,NA,NA,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-10,6505,6634,6505,6608,NA,NA,NA,NA,NA,NA,NA,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-11,6608,6638,6511,6519,NA,NA,NA,NA,NA,NA,NA,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-12,6519,6533,6470,6533,NA,NA,NA,NA,NA,NA,NA,119,-95,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-13,6533,6596,6509,6532,NA,NA,NA,NA,NA,NA,NA,119,-95,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2000-01-14,6532,6667,6532,6658,NA,NA,NA,NA,NA,NA,NA,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2000-01-17,6658,6694,6638,6670,NA,6567,103,NA,NA,NA,NA,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-18,6670,6696,6492,6505,NA,6551,-46,NA,NA,NA,NA,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2000-01-19,6505,6506,6434,6445,NA,6542,-97,NA,NA,NA,NA,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-20,6445,6493,6328,6349,NA,6532,-183,NA,NA,NA,-314,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-21,6349,6375,6287,6346,NA,6516,-170,NA,NA,NA,-190,119,-95,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2000-01-24,6346,6480,6346,6380,117,6494,-114,NA,NA,NA,-67,119,-95,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
2000-01-25,6380,6380,6263,6274,117,6469,-195,NA,NA,NA,-231,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2000-01-26,6274,6380,6270,6376,117,6454,-78,NA,NA,NA,-232,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-27,6376,6452,6376,6441,114,6444,-3,NA,NA,NA,-78,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-28,6441,6475,6355,6376,114,6416,-40,NA,NA,NA,-157,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2000-01-31,6376,6376,6247,6268,115,6376,-108,NA,NA,NA,-264,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-02-01,6268,6367,6232,6291,117,6355,-64,45,95,-50,-367,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-02-02,6291,6345,6242,6303,116,6340,-37,40,90,-50,-367,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-02-03,6303,6394,6252,6324,118,6338,-14,35,85,-50,-181,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-02-04,6324,6365,6171,6185,123,6322,-137,30,100,-70,-260,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2000-02-07,6185,6232,6101,6119,124,6296,-177,25,100,-75,-230,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-02-08,6119,6296,6117,6286,128,6297,-11,20,95,-75,-60,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2000-02-09,6286,6451,6272,6315,131,6291,24,15,90,-75,-65,119,-95,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-02-10,6315,6320,6200,6280,130,6275,5,10,85,-75,6,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2000-02-11,6280,6326,6127,6193,135,6256,-63,5,80,-75,-183,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-02-14,6193,6198,6028,6069,138,6236,-167,0,100,-100,-372,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-02-15,6069,6168,5973,6005,142,6208,-203,0,100,-100,-371,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-02-16,6005,6147,6002,6147,142,6192,-45,0,95,-95,-121,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2000-02-17,6147,6262,6103,6209,143,6181,28,25,90,-65,-82,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-02-18,6209,6264,6151,6165,141,6179,-14,20,85,-65,-138,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-02-21,6165,6194,6030,6082,143,6175,-93,15,80,-65,-242,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-02-22,6082,6173,6003,6015,145,6148,-133,10,75,-65,-170,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-02-23,6015,6167,6015,6144,145,6131,13,5,70,-65,25,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2000-02-24,6144,6289,6071,6087,150,6112,-25,0,65,-65,-199,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-02-25,6087,6198,6086,6198,148,6112,86,0,60,-60,-117,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2000-02-28,6198,6271,6054,6100,153,6115,-15,15,55,-40,-180,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-02-29,6100,6246,6100,6233,152,6138,95,10,50,-40,40,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2000-03-01,6233,6387,6233,6365,152,6160,205,100,45,55,296,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-03-02,6365,6436,6324,6432,149,6182,250,100,40,60,427,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-03-03,6432,6506,6403,6488,146,6214,274,100,35,65,341,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-03-06,6488,6593,6457,6568,145,6263,305,100,30,70,359,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-03-07,6568,6568,6466,6466,142,6308,158,95,25,70,301,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2000-03-08,6466,6480,6387,6411,139,6335,76,90,20,70,329,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-03-09,6411,6544,6411,6532,138,6379,153,85,15,70,517,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2000-03-10,6532,6642,6532,6569,136,6416,153,100,10,90,425,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-03-13,6381,6567,6381,6467,140,6453,14,95,5,90,380,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-03-14,6467,6540,6457,6487,136,6478,9,90,0,90,289,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-03-15,6487,6487,6396,6447,133,6487,-40,85,20,65,347,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2000-03-16,6447,6618,6447,6557,135,6499,58,80,15,65,324,119,-95,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
