"Date","Open","High","Low","Close","atr","sma","Diff","aroonUp","aroonDn","oscillator","mom","prev_smadiff","prev_aroon_up","prev_aroon_dn","prev_aroon_os","prev_mom","pl"
"04/01/2000",6930,6930,6663,6663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-267
"05/01/2000",6666,6666,6500,6536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-130
"06/01/2000",6536,6547,6424,6447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-89
"07/01/2000",6477,6532,6439,6505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28
"10/01/2000",6505,6634,6505,6608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103
"11/01/2000",6608,6638,6511,6519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-89
"12/01/2000",6519,6533,6470,6533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"13/01/2000",6533,6596,6509,6532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"14/01/2000",6532,6667,6532,6658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126
"17/01/2000",6658,6694,6638,6670,NA,6567,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"18/01/2000",6670,6696,6492,6505,NA,6551,-46,NA,NA,NA,NA,103,NA,NA,NA,NA,-165
"19/01/2000",6505,6506,6434,6445,NA,6542,-97,NA,NA,NA,NA,-46,NA,NA,NA,NA,-60
"20/01/2000",6445,6493,6328,6349,NA,6532,-183,NA,NA,NA,-314,-97,NA,NA,NA,NA,-96
"21/01/2000",6349,6375,6287,6346,NA,6516,-170,NA,NA,NA,-190,-183,NA,NA,NA,-314,-3
"24/01/2000",6346,6480,6346,6380,117,6494,-114,NA,NA,NA,-67,-170,NA,NA,NA,-190,34
"25/01/2000",6380,6380,6263,6274,117,6469,-195,NA,NA,NA,-231,-114,NA,NA,NA,-67,-106
"26/01/2000",6274,6380,6270,6376,117,6454,-78,NA,NA,NA,-232,-195,NA,NA,NA,-231,102
"27/01/2000",6376,6452,6376,6441,114,6444,-3,NA,NA,NA,-78,-78,NA,NA,NA,-232,65
"28/01/2000",6441,6475,6355,6376,114,6416,-40,NA,NA,NA,-157,-3,NA,NA,NA,-78,-65
"31/01/2000",6376,6376,6247,6268,115,6376,-108,NA,NA,NA,-264,-40,NA,NA,NA,-157,-108
"01/02/2000",6268,6367,6232,6291,117,6355,-64,45,95,-50,-367,-108,NA,NA,NA,-264,23
"02/02/2000",6291,6345,6242,6303,116,6340,-37,40,90,-50,-367,-64,45,95,-50,-367,12
"03/02/2000",6303,6394,6252,6324,118,6338,-14,35,85,-50,-181,-37,40,90,-50,-367,21
"04/02/2000",6324,6365,6171,6185,123,6322,-137,30,100,-70,-260,-14,35,85,-50,-181,-139
"07/02/2000",6185,6232,6101,6119,124,6296,-177,25,100,-75,-230,-137,30,100,-70,-260,-66
"08/02/2000",6119,6296,6117,6286,128,6297,-11,20,95,-75,-60,-177,25,100,-75,-230,167
"09/02/2000",6286,6451,6272,6315,131,6291,24,15,90,-75,-65,-11,20,95,-75,-60,29
"10/02/2000",6315,6320,6200,6280,130,6275,5,10,85,-75,6,24,15,90,-75,-65,-35
"11/02/2000",6280,6326,6127,6193,135,6256,-63,5,80,-75,-183,5,10,85,-75,6,-87
"14/02/2000",6193,6198,6028,6069,138,6236,-167,0,100,-100,-372,-63,5,80,-75,-183,-124
"15/02/2000",6069,6168,5973,6005,142,6208,-203,0,100,-100,-371,-167,0,100,-100,-372,-64
"16/02/2000",6005,6147,6002,6147,142,6192,-45,0,95,-95,-121,-203,0,100,-100,-371,142
"17/02/2000",6147,6262,6103,6209,143,6181,28,25,90,-65,-82,-45,0,95,-95,-121,62
"18/02/2000",6209,6264,6151,6165,141,6179,-14,20,85,-65,-138,28,25,90,-65,-82,-44
"21/02/2000",6165,6194,6030,6082,143,6175,-93,15,80,-65,-242,-14,20,85,-65,-138,-83
"22/02/2000",6082,6173,6003,6015,145,6148,-133,10,75,-65,-170,-93,15,80,-65,-242,-67
