,Date,Open,High,Low,Close,a1,a2,a3,a4,pl,,,
2000,29/11/2007,6306,6364,6273,6349,139,-205,-31,-97,43,0,,
2001,30/11/2007,6349,6456,6334,6432,110,131,83,324,83,0,1,
2002,03/12/2007,6432,6456,6380,6387,33,59,-45,47,-45,0,0,
2003,04/12/2007,6387,6398,6289,6315,-90,110,-10,10,-72,0,0,
2004,05/12/2007,6315,6494,6315,6494,199,342,359,900,179,0,1,
2005,06/12/2007,6494,6592,6438,6486,212,-51,-8,153,-8,0,0,
2006,07/12/2007,6486,6578,6486,6555,74,69,8,151,69,0,1,
2007,10/12/2007,6555,6597,6524,6565,184,64,64,312,10,0,1,
2008,11/12/2007,6565,6598,6513,6537,-189,-4,-47,-240,-28,1,0,
2009,12/12/2007,6537,6611,6430,6560,-155,230,-63,12,23,0,1,
2010,13/12/2007,6560,6560,6364,6364,-223,-507,-63,-793,-196,1,0,
2011,14/12/2007,6364,6426,6337,6397,182,110,-91,201,33,0,1,
2012,17/12/2007,6397,6397,6264,6278,177,-122,-123,-68,-119,1,0,7
2013,18/12/2007,6278,6344,6254,6279,15,1,84,100,1,0,1,8
2014,19/12/2007,6279,6319,6252,6284,5,60,95,160,5,0,1,9
2015,20/12/2007,6284,6368,6284,6346,-52,54,62,64,62,0,1,9
2016,21/12/2007,6346,6452,6346,6434,-15,-122,267,130,88,0,1,10
2017,24/12/2007,6434,6486,6431,6479,343,-15,247,575,45,0,1,10
2018,27/12/2007,6479,6505,6468,6498,179,-185,134,128,19,0,1,10
2019,28/12/2007,6498,6498,6437,6477,124,-321,-72,-269,-21,1,0,10
2020,31/12/2007,6477,6480,6433,6457,-16,-18,-4,-38,-20,1,0,10
2021,02/01/2008,6457,6512,6403,6417,-209,-217,-44,-470,-40,1,0,10
2022,03/01/2008,6417,6488,6395,6479,269,-13,-42,214,62,0,1,10
2023,04/01/2008,6479,6535,6333,6348,132,-404,-44,-316,-131,1,0,10
2024,07/01/2008,6348,6376,6275,6336,-10,105,-177,-82,-12,1,0,10
2025,08/01/2008,6336,6400,6336,6356,-12,34,-44,-22,20,0,0,10
2026,09/01/2008,6356,6356,6242,6273,-12,72,-177,-117,-83,1,0,9
2027,10/01/2008,6273,6314,6213,6223,-38,161,3,126,-50,0,0,9
2028,11/01/2008,6223,6252,6147,6202,624,-396,228,456,-21,0,0,8
2029,14/01/2008,6202,6247,6173,6216,132,-123,367,376,14,0,1,7
2030,15/01/2008,6216,6216,6026,6026,-177,-94,-211,-482,-190,1,0,7
2031,16/01/2008,6026,6032,5908,5943,-83,270,-83,104,-83,0,0,7
2032,17/01/2008,5943,6028,5895,5902,-41,-198,-41,-280,-41,1,0,6
2033,18/01/2008,5902,6031,5857,5902,192,473,192,857,0,0,0,6
2034,21/01/2008,5902,5902,5571,5578,-507,-450,-507,-1464,-324,1,0,5
2035,22/01/2008,5578,5764,5339,5740,162,364,162,688,162,0,1,5
2036,23/01/2008,5740,5845,5518,5609,-47,-20,-101,-168,-131,1,0,6
2037,24/01/2008,5609,5882,5609,5876,267,267,401,935,267,0,1,6
2038,25/01/2008,5876,5973,5848,5869,-187,-195,-137,-519,-7,1,0,7
2039,28/01/2008,5869,5869,5705,5789,73,-178,-438,-543,-80,1,0,8
2040,29/01/2008,5789,5885,5789,5885,339,-165,358,532,96,0,1,8
2041,30/01/2008,5885,5885,5819,5837,-24,13,169,158,-48,0,0,8
2042,31/01/2008,5837,5900,5689,5880,170,308,-33,445,43,0,1,8
2043,01/02/2008,5880,6045,5880,6029,139,448,317,904,149,0,1,8
2044,04/02/2008,6029,6071,6000,6026,-3,10,-3,4,-3,0,0,9
2045,05/02/2008,6026,6026,5853,5868,-159,-149,-181,-489,-158,1,0,8
2046,06/02/2008,5868,5893,5816,5875,99,157,-133,123,7,0,1,8
2047,07/02/2008,5875,5875,5709,5724,-189,-35,89,-135,-151,1,0,8
2048,08/02/2008,5724,5805,5703,5784,886,86,75,1047,60,0,1,8
2049,11/02/2008,5784,5790,5682,5708,4,-91,-94,-181,-76,1,0,8
2050,12/02/2008,5708,5910,5708,5910,886,288,214,1388,202,0,1,8
2051,13/02/2008,5910,5915,5815,5880,-143,-223,-254,-620,-30,1,0,8
2052,14/02/2008,5880,5938,5859,5879,-185,-60,52,-193,-1,1,0,9
2053,15/02/2008,5879,5915,5764,5788,-180,-98,138,-140,-91,1,0,9
2054,19/02/2008,5947,6034,5885,5967,47,19,103,169,20,0,1,9
2055,20/02/2008,5967,5967,5847,5894,-228,-264,-42,-534,-73,1,0,10
2056,21/02/2008,5894,6004,5894,5932,146,-193,65,18,38,0,1,10
2057,22/02/2008,5932,5971,5864,5888,-209,-441,-162,-812,-44,1,0,10
