,Date,Open,High,Low,Close,a1,a2,a3,a4,pl,,,
2000,22/02/2008,13530,13541,13379,13500,-30,-402,45,-387,-30,1,,
2001,25/02/2008,13612,13969,13612,13915,431,-156,492,767,303,0,1,
2002,26/02/2008,14037,14054,13803,13825,-424,-314,-205,-943,-212,1,0,
2003,27/02/2008,14007,14105,13956,14031,252,475,40,767,24,0,1,
2004,28/02/2008,13878,13962,13795,13926,-442,-138,-138,-718,48,0,0,
2005,29/02/2008,13735,13739,13533,13603,-39,147,-132,-24,-132,1,0,
2006,03/03/2008,13413,13414,12992,12992,76,-531,-1679,-2134,-421,1,0,
2007,04/03/2008,13080,13110,12883,12992,-88,-1015,-88,-1191,-88,1,0,
2008,05/03/2008,12973,13044,12920,12972,-1,-13,-1,-15,-1,1,0,
2009,06/03/2008,13069,13365,13051,13215,146,516,146,808,146,0,1,
2010,07/03/2008,13025,13025,12745,12783,-242,-403,217,-428,-242,1,0,
2011,10/03/2008,12717,12777,12527,12532,-185,505,-185,135,-185,0,0,
2012,11/03/2008,12392,12675,12353,12658,266,-817,266,-285,266,0,0,8
2013,12/03/2008,12842,13071,12799,12861,-164,240,19,95,19,0,1,7
2014,13/03/2008,12741,12772,12352,12433,-252,-615,-459,-1326,-308,1,0,7
2015,14/03/2008,12510,12583,12167,12242,-295,-270,-161,-726,-268,1,0,8
2016,17/03/2008,12089,12133,11691,11788,-301,-177,-301,-779,-301,1,0,8
2017,18/03/2008,11829,11995,11794,11964,135,320,135,590,135,0,1,8
2018,19/03/2008,12142,12375,12142,12260,49,568,49,666,118,0,1,8
2019,21/03/2008,12332,12496,12308,12483,343,175,495,1013,151,0,1,8
2020,24/03/2008,12473,12582,12438,12480,-20,60,39,79,7,0,1,8
2021,25/03/2008,12640,12791,12573,12745,227,81,162,470,105,0,1,8
2022,26/03/2008,12649,12712,12591,12707,58,218,58,334,58,0,1,9
2023,27/03/2008,12618,12622,12476,12605,-144,293,-66,83,-13,0,0,10
2024,28/03/2008,12594,12874,12508,12820,353,385,38,776,226,0,1,9
2025,31/03/2008,12709,12709,12431,12526,-87,-243,-111,-441,-183,1,0,9
2026,01/04/2008,12540,12779,12522,12656,-380,57,-78,-401,116,0,0,9
2027,02/04/2008,12836,13189,12836,13189,322,736,-68,990,353,0,1,8
2028,03/04/2008,13190,13390,13137,13390,200,305,200,705,200,0,1,8
2029,04/04/2008,13286,13361,13220,13293,-1268,7,7,-1254,7,0,0,8
2030,07/04/2008,13241,13486,13229,13450,524,226,209,959,209,0,1,7
2031,08/04/2008,13374,13403,13226,13250,246,10,10,266,-124,0,0,7
2032,09/04/2008,13295,13348,12999,13112,-20,-188,-98,-306,-183,1,0,6
2033,10/04/2008,13030,13062,12898,12945,291,11,-288,14,-85,0,0,6
2034,11/04/2008,13062,13329,13040,13324,148,448,-18,578,262,0,1,6
2035,14/04/2008,13133,13133,12859,12918,157,-299,-52,-194,-215,1,0,6
2036,15/04/2008,12953,13053,12876,12991,513,266,6,785,38,0,1,6
2037,16/04/2008,13131,13222,13112,13146,-102,-218,55,-265,15,0,0,7
2038,17/04/2008,13316,13496,13313,13398,131,101,-6,226,82,0,1,6
2039,18/04/2008,13426,13485,13324,13476,50,-274,-84,-308,50,0,0,6
2040,21/04/2008,13640,13739,13640,13697,-311,167,105,-39,57,0,0,6
2041,22/04/2008,13588,13608,13519,13548,-551,-352,-352,-1255,-40,1,0,5
2042,23/04/2008,13456,13717,13449,13579,526,99,-61,564,123,0,1,6
2043,24/04/2008,13614,13655,13497,13541,-516,-5,-218,-739,-73,1,0,6
2044,25/04/2008,13615,13886,13615,13863,-72,367,229,524,248,0,1,7
2045,28/04/2008,13908,14003,13746,13894,-837,13,13,-811,-14,1,0,7
2046,30/04/2008,13803,13976,13766,13850,-291,137,25,-129,47,0,0,7
2047,01/05/2008,13803,13885,13727,13767,678,26,-85,619,-36,0,0,6
2048,02/05/2008,13944,14073,13944,14049,-106,-452,-54,-612,105,0,0,6
2049,07/05/2008,14148,14209,14023,14102,-53,-104,-36,-193,-46,1,0,5
2050,08/05/2008,14008,14036,13930,13943,-1105,-159,-159,-1423,-65,1,0,6
2051,09/05/2008,13941,13947,13640,13655,-896,-238,-452,-1586,-286,1,0,7
2052,12/05/2008,13566,13793,13541,13743,-43,191,195,343,177,0,1,7
2053,13/05/2008,13814,13977,13734,13954,18,377,164,559,140,0,1,7
2054,14/05/2008,13962,14122,13877,14119,-522,69,-37,-490,157,0,0,7
2055,15/05/2008,14167,14353,14167,14252,104,333,200,637,85,0,1,6
2056,16/05/2008,14364,14393,14195,14219,-852,-135,-26,-1013,-145,1,0,6
