"Date","Open","High","Low","Close","atr","sma","Diff","aroonUp","aroonDn","oscillator","mom","hi","lw","Hammer","InvertedHammer","Doji","DragonflyDoji","GravestoneDoji","Bull.Engulfing","Bear.Engulfing"
2000-01-04,3152,3152,3122,3124,NA,NA,NA,NA,NA,NA,NA,91,-56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
2000-01-05,3124,3124,3035,3051,NA,NA,NA,NA,NA,NA,NA,91,-56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-06,3051,3075,3026,3030,NA,NA,NA,NA,NA,NA,NA,91,-56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-07,3030,3048,3016,3044,NA,NA,NA,NA,NA,NA,NA,91,-56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-10,3044,3112,3044,3103,NA,NA,NA,NA,NA,NA,NA,91,-56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-11,3103,3174,3103,3165,NA,NA,NA,NA,NA,NA,NA,91,-56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-12,3165,3165,3096,3105,NA,NA,NA,NA,NA,NA,NA,91,-56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-13,3105,3106,3089,3096,NA,NA,NA,NA,NA,NA,NA,91,-56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-14,3096,3132,3096,3132,NA,NA,NA,NA,NA,NA,NA,91,-56,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2000-01-17,3132,3148,3131,3140,NA,3099,41,NA,NA,NA,NA,91,-56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-18,3140,3157,3127,3151,NA,3102,49,NA,NA,NA,NA,91,-56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-19,3151,3151,3104,3105,NA,3107,-2,NA,NA,NA,NA,91,-56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2000-01-20,3105,3140,3080,3137,NA,3118,19,NA,NA,NA,13,91,-56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-21,3137,3137,3098,3103,NA,3124,-21,NA,NA,NA,52,91,-56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2000-01-24,3103,3115,3096,3097,46,3123,-26,NA,NA,NA,67,91,-56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-25,3097,3097,3048,3079,46,3114,-35,NA,NA,NA,35,91,-56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-26,3097,3097,3048,3079,46,3112,-33,NA,NA,NA,-24,91,-56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-27,3079,3089,3072,3083,44,3111,-28,NA,NA,NA,-82,91,-56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-28,3083,3107,3082,3092,43,3107,-15,NA,NA,NA,-13,91,-56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-31,3092,3096,3069,3096,42,3102,-6,NA,NA,NA,0,91,-56,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-02-01,3096,3109,3078,3084,41,3096,-12,25,10,15,-48,91,-56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2000-02-02,3084,3124,3084,3116,41,3097,19,20,5,15,-24,91,-56,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2000-02-03,3116,3136,3103,3135,40,3096,39,15,0,15,-16,91,-56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-02-04,3135,3142,3115,3115,39,3098,17,10,0,10,10,91,-56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2000-02-07,3115,3138,3113,3130,38,3101,29,5,60,-55,-7,91,-56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-02-08,3130,3142,3120,3124,37,3105,19,0,55,-55,21,91,-56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-02-09,3124,3160,3124,3134,37,3111,23,20,50,-30,37,91,-56,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
2000-02-10,3134,3175,3120,3172,38,3120,52,100,45,55,93,91,-56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-02-11,3172,3175,3145,3167,38,3127,40,95,40,55,88,91,-56,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-02-14,3167,3167,3129,3135,38,3131,4,90,35,55,52,91,-56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-02-15,3135,3168,3135,3158,37,3139,19,85,30,55,66,91,-56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-02-16,3158,3194,3146,3148,38,3142,6,80,25,55,52,91,-56,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-02-17,3146,3154,3124,3145,38,3143,2,75,20,55,61,91,-56,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2000-02-18,3145,3157,3114,3120,38,3143,-23,70,15,55,4,91,-56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-02-21,3120,3122,3084,3117,38,3142,-25,65,10,55,-18,91,-56,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
2000-02-22,3117,3123,3097,3101,37,3140,-39,60,5,55,-14,91,-56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-02-23,3101,3126,3096,3112,37,3138,-26,55,0,55,-18,91,-56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-02-24,3112,3134,3101,3107,36,3131,-24,50,0,50,-17,91,-56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-02-25,3107,3130,3089,3124,37,3127,-3,45,10,35,-10,91,-56,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2000-02-28,3124,3126,3108,3118,35,3125,-7,40,5,35,-54,91,-56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-02-29,3118,3151,3118,3136,35,3123,13,35,0,35,-31,91,-56,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2000-03-01,3136,3196,3127,3193,38,3127,66,100,70,30,58,91,-56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-03-02,3193,3228,3193,3220,37,3135,85,100,65,35,62,91,-56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-03-03,3220,3256,3203,3226,39,3145,81,100,60,40,78,91,-56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-03-06,3226,3255,3219,3232,38,3157,75,100,55,45,87,91,-56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-03-07,3232,3251,3208,3251,39,3172,79,100,50,50,131,91,-56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-03-08,3251,3253,3201,3218,40,3182,36,95,45,50,101,91,-56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2000-03-09,3218,3219,3186,3197,39,3192,5,90,40,50,96,91,-56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-03-10,3197,3220,3196,3200,38,3199,1,85,35,50,88,91,-56,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-03-13,3200,3208,3180,3190,37,3206,-16,80,30,50,83,91,-56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2000-03-14,3190,3190,3160,3187,37,3211,-24,75,25,50,63,91,-56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-03-15,3187,3187,3153,3164,37,3208,-44,70,20,50,46,91,-56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
