"Date","Open","High","Low","Close","atr","sma","Diff","aroonUp","aroonDn","oscillator","mom","prev_smadiff","prev_aroon_up","prev_aroon_dn","prev_aroon_os","prev_mom","pl"
"04/01/2000",3152,3152,3122,3124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28
"05/01/2000",3124,3124,3035,3051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73
"06/01/2000",3051,3075,3026,3030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-21
"07/01/2000",3030,3048,3016,3044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"10/01/2000",3044,3112,3044,3103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59
"11/01/2000",3103,3174,3103,3165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62
"12/01/2000",3165,3165,3096,3105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-60
"13/01/2000",3105,3106,3089,3096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9
"14/01/2000",3096,3132,3096,3132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36
"17/01/2000",3132,3148,3131,3140,NA,3099,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"18/01/2000",3140,3157,3127,3151,NA,3102,49,NA,NA,NA,NA,41,NA,NA,NA,NA,11
"19/01/2000",3151,3151,3104,3105,NA,3107,-2,NA,NA,NA,NA,49,NA,NA,NA,NA,-46
"20/01/2000",3105,3140,3080,3137,NA,3118,19,NA,NA,NA,13,-2,NA,NA,NA,NA,32
"21/01/2000",3137,3137,3098,3103,NA,3124,-21,NA,NA,NA,52,19,NA,NA,NA,13,-34
"24/01/2000",3103,3115,3096,3097,46,3123,-26,NA,NA,NA,67,-21,NA,NA,NA,52,-6
"25/01/2000",3097,3097,3048,3079,46,3114,-35,NA,NA,NA,35,-26,NA,NA,NA,67,-18
