"","Date","Open","High","Low","Close","a1","a2","a3","a4","pl"
"2000","16/11/2007",6594,6594,6517,6526,-97,-139,79,-157,-68
"2001","19/11/2007",6538,6615,6538,6601,88,63,100,251,63
"2002","20/11/2007",6563,6563,6462,6490,3,-293,-42,-332,-73
"2003","21/11/2007",6502,6503,6425,6450,-49,-18,69,2,-52
"2004","22/11/2007",6425,6425,6373,6395,-41,-121,-89,-251,-30
"2005","23/11/2007",6398,6406,6375,6392,5,-119,-21,-135,-6
"2006","26/11/2007",6420,6543,6420,6533,-85,-39,86,-38,113
"2007","27/11/2007",6503,6503,6417,6494,-73,-37,-26,-136,-9
"2008","28/11/2007",6492,6495,6413,6433,1,111,-48,64,-59
"2009","29/11/2007",6459,6541,6459,6507,-56,-2,-178,-236,48
"2010","30/11/2007",6519,6608,6501,6594,357,292,137,786,75
"2011","03/12/2007",6595,6625,6587,6597,115,-25,84,174,2
"2012","04/12/2007",6583,6594,6560,6589,32,138,124,294,6
"2013","05/12/2007",6580,6580,6543,6568,-218,-131,36,-313,-12
"2014","06/12/2007",6591,6673,6591,6660,-9,-83,38,-54,69
"2015","07/12/2007",6671,6728,6670,6714,-32,91,161,220,43
"2016","10/12/2007",6718,6718,6674,6686,-80,-19,-88,-187,-32
"2017","11/12/2007",6694,6741,6694,6738,54,70,70,194,44
"2018","12/12/2007",6714,6714,6642,6675,-131,-42,-69,-242,-39
"2019","13/12/2007",6682,6704,6627,6661,115,105,-94,126,-21
"2020","14/12/2007",6652,6656,6534,6556,124,-116,-220,-212,-96
"2021","17/12/2007",6537,6538,6332,6332,-236,-168,-268,-672,-205
"2022","18/12/2007",6314,6314,6168,6293,-21,-153,-21,-195,-21
"2023","19/12/2007",6312,6327,6258,6281,-31,25,-31,-37,-31
"2024","20/12/2007",6289,6301,6245,6245,-44,255,-113,98,-44
"2025","21/12/2007",6251,6345,6250,6309,-11,282,58,329,58
"2026","24/12/2007",6331,6402,6331,6388,32,42,59,133,57
"2027","27/12/2007",6402,6434,6401,6426,205,38,-30,213,24
"2028","28/12/2007",6411,6424,6373,6424,188,-71,-195,-78,13
